,gpu_usage,cpu_usage_avg,gpu_temp,cpu_temp,tj_temp,power_tot,power_model,RAM,SWAP,elapsed_time
133,8.1,47.25,64.656,68.281,68.218,13242.0,6110.0,0.918625688496878,0.8653397239064512,136.38513731956482
134,99.8,45.375,65.875,67.937,67.937,13701.0,6379.0,0.918955792730471,0.8653244651137507,137.52182459831238
135,99.8,38.75,64.531,67.406,67.687,12239.0,4992.0,0.9200084834043403,0.8653244651137507,138.92859625816345
136,0.0,50.375,64.343,68.593,68.343,12399.0,5031.0,0.9221385664294225,0.8653092063210502,139.36782908439636
137,99.8,48.875,66.031,67.937,68.0,14222.0,6818.0,0.918998708775957,0.8653092063210502,140.45325779914856
138,99.7,52.0,65.0,67.875,68.031,14583.0,7097.0,0.9199665654064236,0.8653092063210502,141.86933159828186
139,0.0,52.125,64.281,67.718,67.812,11173.0,4600.0,0.9420750656528166,0.8653092063210502,142.67138695716858
140,99.6,55.625,66.687,68.406,68.5,17400.0,9141.0,0.9218082126839371,0.8653092063210502,143.43630480766296
141,99.8,41.75,65.343,67.937,67.968,14382.0,6897.0,0.9231331208323716,0.8653092063210502,144.5994176864624
142,0.0,54.25,64.375,68.031,68.062,10811.0,4320.0,0.9444070037988186,0.8652939475283498,145.51435899734497
143,99.6,59.875,66.937,68.5,68.5,17600.0,9300.0,0.9262278168333198,0.8652939475283498,146.40038919448853
144,54.3,51.625,65.093,68.593,68.593,15584.0,7722.0,0.9295303562406043,0.8652481711502483,147.61792945861816
145,15.6,67.875,64.562,68.437,68.156,11677.0,4720.0,0.9465006580876161,0.8652023947721469,148.42390847206116
146,99.8,61.5,66.281,67.937,68.312,16920.0,8743.0,0.9261359964569311,0.8666441122637063,149.64823937416077
147,99.8,34.25,65.656,68.375,68.375,14382.0,7017.0,0.9271460205972067,0.8666441122637063,150.57483911514282
148,0.0,59.875,64.406,68.125,68.281,10691.0,4360.0,0.9536838559567845,0.867022244220315,151.80908346176147
149,99.6,54.875,66.718,69.093,68.843,15720.0,7881.0,0.9268613275280233,0.8694548295628618,152.44896388053894
150,99.8,44.75,65.062,68.25,68.25,13701.0,6459.0,0.9263750288498126,0.8694395707701613,153.73274779319763
151,32.8,54.125,64.625,68.156,68.281,10972.0,4360.0,0.9404534878643653,0.870576827663619,154.6743462085724
152,99.8,43.375,65.25,68.468,68.468,11133.0,4760.0,0.9221657632256898,0.8715674570959704,155.51856541633606
153,99.5,63.125,66.312,68.531,68.343,15720.0,7961.0,0.9249051542919164,0.8715521983032699,156.53199815750122
154,0.0,58.25,65.0,68.343,68.375,12319.0,5551.0,0.9246022468545907,0.8715521983032699,157.50022625923157
155,0.0,42.875,66.125,68.656,68.593,12800.0,5910.0,0.9241122054979946,0.8715612582114358,158.67001390457153
156,99.8,57.375,66.312,68.625,68.562,16200.0,8280.0,0.9267066301547597,0.8715459994187353,159.44362425804138
157,1.9,61.0,65.25,68.375,68.562,12640.0,5830.0,0.926632774634621,0.8715459994187353,160.46811151504517
158,99.8,41.625,66.375,68.687,68.781,13701.0,6539.0,0.9257874283433034,0.8715459994187353,161.67161464691162
159,99.8,53.25,66.562,68.281,68.406,14983.0,7364.0,0.9293726647246324,0.8715307406260349,162.95281076431274
160,0.0,58.75,64.937,68.531,68.625,12560.0,5630.0,0.9277286308658687,0.8715307406260349,163.47122883796692
161,99.8,46.5,67.156,68.906,68.968,14342.0,6937.0,0.9292746065509347,0.8715307406260349,164.68523383140564
162,99.8,43.375,65.5,67.843,68.437,12640.0,5271.0,0.9149072127650284,0.8715154818333344,165.92143321037292
163,0.0,42.25,65.312,68.656,68.625,11918.0,4800.0,0.9236887838166586,0.8715154818333344,166.52955079078674
164,99.8,52.875,68.375,69.187,69.062,19209.0,9721.0,0.9147857004734489,0.8715154818333344,167.6399257183075
165,0.0,38.625,65.531,69.093,68.875,14302.0,6738.0,0.9150172475095594,0.8715154818333344,168.6452615261078
166,0.0,55.375,65.093,68.656,68.812,11052.0,4600.0,0.9356491363769626,0.8715154818333344,169.676744222641
167,99.6,53.875,66.25,68.5,68.812,15504.0,7046.0,0.9152500421051318,0.8714849642479334,170.7639446258545
168,0.0,50.25,65.218,69.218,69.5,12680.0,5950.0,0.9154242014059996,0.8714849642479334,171.54686331748962
169,0.0,55.875,65.125,68.718,68.687,10932.0,4520.0,0.9358769407346877,0.871469705455233,172.5703649520874
170,99.8,67.125,66.687,69.031,68.906,16359.0,8346.0,0.9160983825391578,0.8710729768450205,173.67501711845398
171,0.0,52.125,65.312,68.687,68.781,11596.0,4720.0,0.9256981030858383,0.8709661652961171,174.71024990081787
172,99.6,52.75,67.843,69.218,69.406,17851.0,9324.0,0.9178504550473137,0.8709661652961171,175.61074209213257
173,99.8,44.875,66.375,69.093,69.093,14943.0,7245.0,0.9178863847598137,0.8709661652961171,176.6517369747162
174,0.4,52.625,65.156,68.656,68.75,10851.0,4440.0,0.938797976458553,0.8709661652961171,177.54930210113525
175,99.8,63.25,67.781,69.406,69.406,17891.0,9562.0,0.9162326199372478,0.8709661652961171,178.42751169204712
176,1.1,45.625,65.968,69.593,69.343,13581.0,6299.0,0.9176747986750918,0.8709661652961171,179.65429139137268
177,0.0,48.375,66.687,69.218,69.125,12840.0,5910.0,0.9256566841117064,0.8709509065034167,180.7660036087036
178,99.8,49.875,66.5,68.656,69.125,14142.0,6180.0,0.9177274456843799,0.8709509065034167,181.9643669128418
179,0.0,41.125,65.687,69.0,69.125,12359.0,5031.0,0.9224020509877552,0.8709509065034167,182.6318278312683
180,99.8,50.125,67.031,69.468,69.437,13942.0,6618.0,0.9201060425542532,0.8709509065034167,183.5155861377716
181,99.8,52.875,66.093,68.781,69.0,13782.0,6379.0,0.9219781302826346,0.8709356477107162,184.98012924194336
182,0.0,57.5,65.593,69.406,69.312,11476.0,4760.0,0.9258859855407858,0.8709051301253152,185.6729862689972
183,99.8,51.125,67.5,69.687,69.406,16720.0,8584.0,0.9214062490253442,0.8709051301253152,186.70133066177368
184,99.8,57.875,66.75,69.343,69.281,15600.0,7921.0,0.9243642125092787,0.8709051301253152,187.88843202590942
185,0.0,55.875,65.562,69.5,69.781,12399.0,5311.0,0.9312382651438125,0.8718213729432518,188.5430669784546
186,99.8,52.25,66.406,69.656,69.656,12800.0,5910.0,0.9222990025762103,0.8723184757991972,189.46510529518127
187,99.8,64.5,67.062,69.5,69.5,16000.0,8160.0,0.9241800727327166,0.8723032170064967,190.62981414794922
