,gpu_usage,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,cpu_8,gpu_temp,cpu_temp,tj_temp,power_tot,power_model,RAM,elapsed_time
115,99.2,21.0,29.0,35.0,22.0,36.0,60.0,38.0,36.0,64.687,66.937,66.937,16279.0,7364.0,0.6340492199718349,115.28957605361938
116,99.0,26.0,28.0,28.0,41.0,28.0,35.0,49.0,38.0,64.437,67.187,67.187,15360.0,6568.0,0.6337226071933657,116.28170847892761
117,92.8,35.0,27.0,29.0,29.0,35.0,32.0,27.0,28.0,64.312,66.875,67.0,14463.0,5582.0,0.6338219134468651,117.29201865196228
118,88.1,25.0,22.0,29.0,21.0,32.0,25.0,33.0,19.0,64.468,67.093,67.093,14222.0,5342.0,0.6336619754858271,118.26697087287903
119,88.5,25.0,27.0,37.0,26.0,30.0,14.0,23.0,17.0,64.25,66.875,66.937,13741.0,5071.0,0.6342717857460095,119.41600584983826
120,76.9,28.0,28.0,28.0,31.0,36.0,34.0,32.0,21.0,64.593,66.968,67.031,14423.0,5542.0,0.6339217187267641,120.32128190994263
121,98.9,27.0,32.0,30.0,22.0,36.0,29.0,28.0,31.0,64.656,66.937,67.218,14503.0,5582.0,0.6340192783878653,121.34705114364624
122,99.1,21.0,31.0,31.0,25.0,31.0,39.0,34.0,23.0,64.468,66.937,67.25,14583.0,5621.0,0.6339149818703709,122.31197547912598
123,99.1,20.0,30.0,14.0,20.0,45.0,32.0,28.0,22.0,64.437,66.968,67.187,14302.0,5422.0,0.6340701790806137,123.34129405021667
124,99.0,38.0,31.0,26.0,29.0,29.0,26.0,34.0,20.0,64.5,67.093,67.281,14743.0,5821.0,0.6337011490581875,124.28472089767456
125,84.5,21.0,31.0,27.0,40.0,36.0,22.0,18.0,26.0,64.718,67.218,67.187,14743.0,5781.0,0.6339526583635328,125.27355003356934
126,99.0,19.0,28.0,17.0,19.0,33.0,45.0,34.0,30.0,64.937,67.312,67.312,15024.0,5980.0,0.6349097909977633,126.32236766815186
127,99.1,30.0,20.0,15.0,20.0,40.0,35.0,26.0,40.0,64.937,67.25,67.468,14863.0,5861.0,0.6340809081482028,127.3369402885437
128,99.1,23.0,41.0,19.0,22.0,33.0,30.0,34.0,30.0,65.718,67.312,67.468,14623.0,5741.0,0.6336340300074554,128.26262593269348
129,99.0,20.0,24.0,16.0,28.0,38.0,36.0,30.0,30.0,65.125,67.468,67.625,14783.0,5781.0,0.6337635273581242,129.3523530960083
130,98.9,31.0,25.0,28.0,24.0,39.0,38.0,26.0,26.0,65.406,67.312,67.5,15064.0,5861.0,0.6333877604793049,130.35870480537415
131,99.1,37.0,25.0,25.0,27.0,34.0,29.0,31.0,37.0,65.437,67.5,67.593,14623.0,5741.0,0.6336355270866539,131.3526487350464
132,99.2,23.0,26.0,12.0,21.0,34.0,28.0,41.0,36.0,65.156,67.718,67.718,14783.0,5781.0,0.6335579284815326,132.3093945980072
133,56.7,25.0,23.0,30.0,20.0,32.0,32.0,25.0,26.0,64.562,67.281,67.562,13862.0,5271.0,0.6341692358209134,133.318128824234
